"This includes your unclaimed balance, unconfirmed balance and immature balance","","Overview"
"Incoming balances","","Overview"
"Connections","Csatlakozók","Overview"
"Last updated
%{time}","Utolsó frissítés időpontja
%{time}","Overview"
"Block Count","Blokkok Száma","Overview"
"Market Price","Piaci Ár","Overview"
"Market Cap","Piaci Kapitalizáció","Overview"
"24hr Change","24ó Változás","Overview"
"Prime Difficulty","Prím Nehézség","Overview"
"Hash Difficulty","Hash Nehézség","Overview"
"Staking Difficulty","","Overview"
"Staking stats not yet available until you get a genesis transaction","","Overview"
"Stake Rate","Stake Arány","Overview"
"Block Weight","Blokk Súly","Overview"
"Trust Weight","Bizalmi Súly","Overview"
"Stake Weight","Stake Súly","Overview"
"Invalid amount","Érvénytelen összeg","Send"
"%{currency} amount","","Send"
"Amount","Összeg","Send"
"All","Összes","Send"
"Expires in","","Send"
"The amount of time since the transaction is created after which the transaction can no longer be credited by the recipient.","","Send"
"Days","","Send"
"Hours","","Send"
"Minutes","","Send"
"Seconds","","Send"
"Send","Küldés","Send"
"Cannot move to the same account","Nem lehet áthelyezni ugyanarra a fiókra","Send"
"Source and recipient must be of the same token","","Send"
"Send to","Címzett","Send"
"Recipient Name or Address","","Send"
"Your address book is empty","A címjegyzéked üres","Send"
"Create new contact","Új névjegy létrehozása","Send"
"Recipient name cannot be resolved","","Send"
"Remove recipient","Címzett eltávolítása","Send"
"Reference must be an unsigned integer","","Send"
"Reference","","Send"
"An optional number which may be provided by the recipient to identify this transaction from the others, e.g. invoice number, order number, etc.","","Send"
"Ref. number (optional)","","Send"
"Accounts","","Send"
"Unnamed account","","Send"
"Tokens","","Send"
"Unnamed token","","Send"
"Advanced options","","Send"
"Send from","Feladó","Send"
"Select an account","Válasszon fiókot","Send"
"Add recipient","Címzett hozzáadása","Send"
"Proceed","","Send"
"Unnamed token","","PreviewTransaction"
"Unnamed account","","PreviewTransaction"
"From","","PreviewTransaction"
"To","","PreviewTransaction"
"Amount","Összeg","PreviewTransaction"
"Reference","","PreviewTransaction"
"Expires","","PreviewTransaction"
"NO EXPIRY","","PreviewTransaction"
"Transaction never expires, and you won't be able to void it even if the recipient doesn't credit the transaction","","PreviewTransaction"
"in %{time_span}","","PreviewTransaction"
"You're sending","","PreviewTransaction"
"Transaction sent","Tranzakció elküldve","PreviewTransaction"
"Error sending transaction","","PreviewTransaction"
"Enter your PIN to confirm","","PreviewTransaction"
"Sending transaction...","","PreviewTransaction"
"Send transaction","","PreviewTransaction"
"Select backup directory","Biztonsági könyvtár kiválasztása","Settings.Application"
"Backup directory","Biztonsági mentés mappája","Settings.Application"
"Browse","Böngészés","Settings.Application"
"Turn module open source policy on?","Bekapcsolni a modul nyílt forráskódú irányelvet?","Settings.Application"
"All modules without open source verifications, possibly including your own under-development modules, will become invalid. Wallet must be refreshed for the change to take effect.","Minden nyílt forráskódú hitelesítés nélküli modul, beleértve a saját fejlesztés alatt álló moduljait, érvénytelenné fog válni. A pénztárcát frissíteni kell a módosítás hatálybalépéséhez.","Settings.Application"
"Turn module open source policy off?","Kikapcsolni a modul nyílt forráskódú irányelvet?","Settings.Application"
"This is only for module developers and can be dangerous for
            regular users. Please make sure you know what you are doing!","","Settings.Application"
"It would be much easier for a closed source module to hide
            malicious code than for an open source one. Therefore, in case you
            still want to disable this setting, it is highly recommended that
            you only install and run closed source modules that you are
            developing yourself.","","Settings.Application"
"Turn policy off","Kikapcsolni az irányelvet","Settings.Application"
"Keep policy on","Tartsa az irányelvet bekapcsolva","Settings.Application"
"Are you sure you want to disable auto update?","Biztos benne, hogy letiltja az automatikus frissítést?","Settings.Application"
"Keeping your wallet up-to-date is important for your security and will ensure that you get the best possible user experience.","A pénztárca naprakészen tartása fontos az Ön biztonsága szempontjából, és biztosítja a lehető legjobb felhasználói élmény elérését.","Settings.Application"
"Keep auto update On","Tartsa az automatikus frissítést bekapcsolva","Settings.Application"
"Turn auto update Off","Kapcsolja ki az automatikus frissítést","Settings.Application"
"Minimize on close","Bezáráskor kis méret","Settings.Application"
"Minimize the wallet when closing the window instead of closing it.","Az ablak bezárása helyett minimalizálja a pénztárcát, amikor bezárja.","Settings.Application"
"Open on startup","","Settings.Application"
"Open the wallet when ever the OS starts.","","Settings.Application"
"Auto update (Recommended)","Automatikus frissítés (Ajánlott)","Settings.Application"
"Automatically check for new versions and notify if a new version is available.","Automatikusan ellenőrizze, van-e új verzió, és értesítse, ha van új verzió.","Settings.Application"
"Allow Pre-releases","","Settings.Application"
"Accept pre-release versions (e.g. alpha, beta) when checking for updates.","","Settings.Application"
"Send anonymous usage data","Anonimizált használati adatok küldése","Settings.Application"
"Send anonymous usage data to allow the Nexus developers to improve the wallet.","Küldjön anonim használati adatokat, hogy a Nexus fejlesztők javítsák a pénztárcát.","Settings.Application"
"Base currency","Bázisdeviza","Settings.Application"
"Developer mode","Fejlesztői üzemmód","Settings.Application"
"Development mode enables advanced features to aid in development. After enabling the wallet must be closed and reopened to enable those features.","A fejlesztési mód lehetővé teszi a fejlett funkciók fejlesztését. Engedélyezése után a pénztárcát le kell zárni és újra kell nyitni, hogy engedélyezze ezeket a funkciókat.","Settings.Application"
"Module open source policy","Modul nyílt forráskódú irányelv","Settings.Application"
