"%{name}'s Address","%{name}'s Address"
"%{name}'s Nexus address","%{name}'s Nexus address"
"%{smart_count} address |||| %{smart_count} addresses","%{smart_count} address |||| %{smart_count} addresses"
"Key Management","Key Management"
"Label (optional)","Label (optional)"
"Language","Language"
"Last updated
%{time}","Last updated
%{time}"
"Light","Light"
"Loading transaction details...","Loading transaction details..."
"Loading transactions","Loading transactions"
"Local Time","Local Time"
"Log in now","Log in now"
"Log out","Log out"
"Logged in successfully","Logged in successfully"
"Logged in<if_timed> until %{unlockDate}</if_timed><if_minting_only> for staking & mining</if_minting_only>","Logged in<if_timed> until %{unlockDate}</if_timed><if_minting_only> for staking & mining</if_minting_only>"
"Login for staking & mining only","Login for staking & mining only"
"Login until date","Login until date"
"Login until time","Login until time"
"Low","Low"
"Manual Core IP is required","Manual Core IP is required"
"Manual Core is disconnected","Manual Core is disconnected"
"Manual Core mode","Manual Core mode"
"Manual Core password is required","Manual Core password is required"
"Manual Core port is required","Manual Core port is required"
"Manual Core username is required","Manual Core username is required"
"Market Cap","Market Cap"
"Market Data","Market Data"
"Market Price","Market Price"
"Message","Message"
"Min amount","Min amount"
"Minimize on close","Minimize on close"
"Minimize the wallet when closing the window instead of closing it.","Minimize the wallet when closing the window instead of closing it."
"Minimum amount of confirmations before a block is accepted. Local only.","Minimum amount of confirmations before a block is accepted. Local only."
"Minimum confirmations","Minimum confirmations"
"Mining IP Whitelist","Mining IP Whitelist"
"Module Details","Module Details"
"Module Specifications version","Module Specifications version"
"Module has been successfully installed","Module has been successfully installed"
"Module hash","Module hash"
"Module is invalid","Module is invalid"
"Module is not open source","Module is not open source"
"Module name","Module name"
"Module open source policy","Module open source policy"
"Module type","Module type"
"Modules","Modules"
"Move NXS","Move NXS"
"Move NXS between accounts","Move NXS between accounts"
"Moving the database...","Moving the database..."
"Moving...","Moving..."
"My Account","My Account"
"My Addresses","My Addresses"
"My Nexus address","My Nexus address"
"My Nexus address for %{name}","My Nexus address for %{name}"
"My address for %{name}","My address for %{name}"
"NXS Amount","NXS Amount"
"NXS addresses","NXS addresses"
"NXS moved successfully","NXS moved successfully"
"Name","Name"
"Name is required.","Name is required."
"New address","New address"
"New address has been created","New address has been created"
"New contact","New contact"
"New contact has been added to address book","New contact has been added to address book"
"New password","New password"
"New wallet version %{version} - Ready to install!","New wallet version %{version} - Ready to install!"
"New wallet version %{version} available. Downloading...","New wallet version %{version} available. Downloading..."
"Next","Next"
"Nexus Addresses format","Nexus Addresses format"
"Nexus Core Version","Nexus Core Version"
"Nexus Core is not connected","Nexus Core is not connected"
"Nexus Core is stopped","Nexus Core is stopped"
"Nexus Git Repository","Nexus Git Repository"
"Nexus Wallet Guide","Nexus Wallet Guide"
"Nexus Website","Nexus Website"
"No","No"
"No Rows Found","No Rows Found"
"No accounts selected","No accounts selected"
"No information","No information"
"No, let it continue","No, let it continue"
"No, let it sync","No, let it sync"
"Not available","Not available"
"Not enough disk space! Minimum 15GB of free space is required.","Not enough disk space! Minimum 15GB of free space is required."
"Not logged in","Not logged in"
"Not provided","Not provided"
"Notes","Notes"
"Only modules which have valid open source repositories are allowed to be installed and run. You can disable this option to test run the modules that you're developing","Only modules which have valid open source repositories are allowed to be installed and run. You can disable this option to test run the modules that you're developing"
"Open","Open"
"Orphan","Orphan"
"Overview","Overview"
"Overview Display","Overview Display"
"Overwrite module?","Overwrite module?"
"Page","Page"
"Password","Password"
"Password cannot contain these characters:","Password cannot contain these characters:"
"Password cannot start or end with spaces","Password cannot start or end with spaces"
"Password configured for manual Core.","Password configured for manual Core."
"Password has been changed.","Password has been changed."
"Password is required","Password is required"
"Password must be at least 8 characters","Password must be at least 8 characters"
"Passwords do not match","Passwords do not match"
"Past Month","Past Month"
"Past Week","Past Week"
"Past Year","Past Year"
"Paste","Paste"
"Pending","Pending"
"Phone Number","Phone Number"
"Phone number","Phone number"
"Please wait for Nexus Core to start.","Please wait for Nexus Core to start."
"Port","Port"
"Port configured for manual Core.","Port configured for manual Core."
"Previous","Previous"
"Previous password","Previous password"
"Price","Price"
"Price Change","Price Change"
"Primary Color","Primary Color"
"Primary Color Accent","Primary Color Accent"
"Prime Difficulty","Prime Difficulty"
"Private key","Private key"
"Private key imported. Rescanning now","Private key imported. Rescanning now"
"Private key is required","Private key is required"
"Private key will be displayed here","Private key will be displayed here"
"Processing CSV","Processing CSV"
"Quit Nexus","Quit Nexus"
"Quit and install update...","Quit and install update..."
"Re-enter password","Re-enter password"
"Re-enter password:","Re-enter password:"
"Receive","Receive"
"Recent database has been successfully bootstrapped","Recent database has been successfully bootstrapped"
"Recipient address","Recipient address"
"Refresh","Refresh"
"Refreshing market data...","Refreshing market data..."
"Reload","Reload"
"Reload transaction history","Reload transaction history"
"Remove address","Remove address"
"Remove recipient","Remove recipient"
"Render globe","Render globe"
"Render the globe on the Overview page.","Render the globe on the Overview page."
"Rescan wallet","Rescan wallet"
"Rescanned successfully","Rescanned successfully"
"Rescanning Wallet...","Rescanning Wallet..."
"Rescanning done","Rescanning done"
"Rescanning...","Rescanning..."
"Reset","Reset"
"Restart Core","Restart Core"
"Restart Core?","Restart Core?"
"Restart Nexus core with -walletclean parameter to clean out and reload all transaction history","Restart Nexus core with -walletclean parameter to clean out and reload all transaction history"
"Restarting Core...","Restarting Core..."
"Restarting Nexus Core...","Restarting Nexus Core..."
"Sample Address","Sample Address"
"Save Settings","Save Settings"
"Save changes","Save changes"
"Search address","Search address"
"Search contact","Search contact"
"Security","Security"
"Select Wallet Theme","Select Wallet Theme"
"Select a custom wallpaper","Select a custom wallpaper"
"Select a directory","Select a directory"
"Select a time zone","Select a time zone"
"Select an account","Select an account"
"Select backup directory","Select backup directory"
"Select custom theme file","Select custom theme file"
"Select module archive file","Select module archive file"
"Select module directory","Select module directory"
"Select module's <file>archive file</file> or <dir>directory</dir>","Select module's <file>archive file</file> or <dir>directory</dir>"
"Send","Send"
"Send NXS","Send NXS"
"Send To multiple recipients","Send To multiple recipients"
"Send all","Send all"
"Send anonymous usage data","Send anonymous usage data"
"Send anonymous usage data to allow the Nexus developers to improve the wallet.","Send anonymous usage data to allow the Nexus developers to improve the wallet."
"Send from","Send from"
"Send to","Send to"
"Send transaction?","Send transaction?"
"Sent","Sent"
"Set timeout for login","Set timeout for login"
"Settings","Settings"
"Settings Saving","Settings Saving"
"Settings Unchanged","Settings Unchanged"
"Show transactions chart","Show transactions chart"
"Source code","Source code"
"Stake","Stake"
"Stake Difficulty","Stake Difficulty"
"Stake Rate","Stake Rate"
"Stake Weight","Stake Weight"
"Staking and mining rewards that need to get past 120 block-old to become available","Staking and mining rewards that need to get past 120 block-old to become available"
"Start Nexus Core","Start Nexus Core"
"Stop Nexus Core","Stop Nexus Core"
"Stopping Core...","Stopping Core..."
"Stopping Nexus Core...","Stopping Nexus Core..."
"Style","Style"
"Synchronized","Synchronized"
"Synchronizing","Synchronizing"
"The balance displayed might not be up-to-date since the wallet is not yet fully synchronized","The balance displayed might not be up-to-date since the wallet is not yet fully synchronized"
"The provided repository is not verified to be the real source code of this module","The provided repository is not verified to be the real source code of this module"
"The wallet will now be refreshed for the new module to take effect","The wallet will now be refreshed for the new module to take effect"
"Their Nexus address","Their Nexus address"
"Theme","Theme"
"Theme exported","Theme exported"
"Theme has been reset to default","Theme has been reset to default"
"There are currently no updates available","There are currently no updates available"
"There must be at least one address.","There must be at least one address."
"There must be at least one recipient","There must be at least one recipient"
"This is an address registered to this wallet.","This is an address registered to this wallet."
"This is not one of your addresses.","This is not one of your addresses."
"This is one of your addresses.","This is one of your addresses."
"This is only for module developers and can be dangerous for
              regular users. Please make sure you know what you are doing!","This is only for module developers and can be dangerous for
              regular users. Please make sure you know what you are doing!"
"This is your Default Address","This is your Default Address"
"This module is developed by Nexus","This module is developed by Nexus"
"This repository does not exist or is private","This repository does not exist or is private"
"This repository is not verified to be the real source code of this module","This repository is not verified to be the real source code of this module"
"This setting change will only take effect after Core is restarted. Do you want to restart the Core now?","This setting change will only take effect after Core is restarted. Do you want to restart the Core now?"
"Time","Time"
"Time is required","Time is required"
"Time must be at least one hour in the future","Time must be at least one hour in the future"
"Time span","Time span"
"Time zone","Time zone"
"To account","To account"
"Toggle Developer Tools","Toggle Developer Tools"
"Toggle FullScreen","Toggle FullScreen"
"Toggle Module's Developer Tools","Toggle Module's Developer Tools"
"Transaction ID","Transaction ID"
"Transaction details","Transaction details"
"Transaction received","Transaction received"
"Transaction sent","Transaction sent"
"Transactions","Transactions"
"Transactions Details","Transactions Details"
"Transactions chart","Transactions chart"
"Trust","Trust"
"Trust Weight","Trust Weight"
"Trust transaction","Trust transaction"
"Turn auto update Off","Turn auto update Off"
"Turn module open source policy off?","Turn module open source policy off?"
"Turn module open source policy on?","Turn module open source policy on?"
"Turn policy off","Turn policy off"
"Twinkling stars","Twinkling stars"
"Unknown","Unknown"
"Unknown error","Unknown error"
"Unknown login status","Unknown login status"
"Unsupported file type","Unsupported file type"
"Update available! Downloading...","Update available! Downloading..."
"Used to correct transaction/balance issues, scans over every block in the database. Could take up to 10 minutes.","Used to correct transaction/balance issues, scans over every block in the database. Could take up to 10 minutes."
"Username","Username"
"Username configured for manual Core.","Username configured for manual Core."
"Verbose level","Verbose level"
"Verbose level for logs.","Verbose level for logs."
"Version","Version"
"View","View"
"View Backups","View Backups"
"View private key","View private key"
"View private key for address","View private key for address"
"Visit repository","Visit repository"
"Volume","Volume"
"Waiting for 100% synchronization to start staking...","Waiting for 100% synchronization to start staking..."
"Waiting for average age of balance to exceed 72 hours to start staking...","Waiting for average age of balance to exceed 72 hours to start staking..."
"Wallet backed up","Wallet backed up"
"Wallet has been backed up","Wallet has been backed up"
"Wallet has been encrypted.","Wallet has been encrypted."
"Wallet is not encrypted","Wallet is not encrypted"
"Wallet is not staking","Wallet is not staking"
"Wallet is staking","Wallet is staking"
"Wallet password","Wallet password"
"Wallet will be automatically refreshed for the change to take effect","Wallet will be automatically refreshed for the change to take effect"
"Warning","Warning"
"Warning: This module is written by a third party, Nexus is NOT
              responsible for its quality or legitimacy. Please make sure to do
              your due diligence before installing third party modules and use
              them with your own risk.","Warning: This module is written by a third party, Nexus is NOT
              responsible for its quality or legitimacy. Please make sure to do
              your due diligence before installing third party modules and use
              them with your own risk."
"Yes","Yes"
"Yes, abort","Yes, abort"
"Yes, let's bootstrap it","Yes, let's bootstrap it"
"You are not logged in","You are not logged in"
"You need to log in to your wallet before sending transactions","You need to log in to your wallet before sending transactions"
"Your address book is empty","Your address book is empty"
"Your computer does not support OPENGL 2.0","Your computer does not support OPENGL 2.0"
"Your wallet is not encrypted!","Your wallet is not encrypted!"
"Your wallet password","Your wallet password"
"or drag and drop it here","or drag and drop it here"
"rows","rows"
